ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
1,1,burak,1,0,0.00,0.00,1.00,1.00,2.00,4.00,2.50,6.00,5.50,5.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
2,2,burak,1,0,0.00,0.00,1.00,1.00,1.00,2.50,2.50,3.00,3.00,4.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
3,3,burak,1,0,0.00,0.00,1.00,1.00,1.00,2.50,2.00,3.00,3.00,3.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
4,4,burak,1,0,0.00,0.00,0.00,0.00,1.00,2.50,2.00,2.50,3.00,3.50,no,no,no,no,yes,yes,yes,yes,yes,yes
5,5,burak,1,0,0.00,0.00,0.00,0.00,0.50,1.00,1.50,2.50,3.00,2.60,no,no,no,no,yes,yes,yes,yes,yes,yes
6,6,burak,1,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.50,3.00,2.60,no,no,no,no,no,yes,yes,yes,yes,yes
7,7,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.50,1.50,2.60,no,no,no,no,no,yes,yes,yes,yes,yes
8,8,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,no,no,no,no,no,no,no,yes,no,yes
9,9,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,no,no,no,no,no,no,no,yes,no,yes
10,10,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
11,11,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
12,12,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
13,13,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
14,14,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
15,15,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
16,16,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
17,17,burak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
