ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_7,Shoot_length_9,Shoot_length_10,Shoot_length_13,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_7,germination_9,germination_10,germination_13,germination_14
1,1,owies,1,0,0.00,0.00,0.50,1.00,3.00,10.00,13.00,19,20.00,22.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
2,2,owies,1,0,0.00,0.00,0.50,1.00,3.00,9.00,16.00,19.00,19.00,20.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
3,3,owies,1,0,0.00,0.00,0.50,1.00,3.00,9.00,16.00,21.00,17.00,24.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
4,4,owies,1,0,0.00,0.00,0.50,0.50,3.00,9.00,15.50,14.00,19.00,24.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
5,5,owies,1,0,0.00,0.00,0.00,0.00,2.00,8.00,15.00,18.00,21.00,21.00,no,no,no,no,yes,yes,yes,yes,yes,yes
6,6,owies,1,0,0.00,0.00,0.00,0.00,2.00,8.00,14.00,17.00,23.00,22.00,no,no,no,no,yes,yes,yes,yes,yes,yes
7,7,owies,1,0,0.00,0.00,0.00,0.00,2.00,6.50,14.50,17.00,23.00,27.00,no,no,no,no,yes,yes,yes,yes,yes,yes
8,8,owies,1,0,0.00,0.00,0.00,0.00,0.00,1.00,3.50,7.00,21.00,14.00,no,no,no,no,no,yes,yes,yes,yes,yes
9,9,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,2.00,3.00,19.00,8.50,no,no,no,no,no,no,yes,yes,yes,yes
10,10,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,no,no,no,no,no,no,no,no,yes,no
11,11,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,no,no,no,no,no,no,no,no,yes,no
12,12,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00,0.00,no,no,no,no,no,no,no,no,yes,no
13,13,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,no,no,no,no,no,no,no,no,yes,no
14,14,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.50,0.00,no,no,no,no,no,no,no,no,yes,no
15,15,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.00,0.00,no,no,no,no,no,no,no,no,yes,no
16,16,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
17,17,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
18,18,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
19,19,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
20,20,owies,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
21,1,owies,2,0,0.00,0.00,0.50,1.00,3.00,9.50,15.00,16.00,13.00,22.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
22,2,owies,2,0,0.00,0.00,0.50,1.00,3.00,9.50,12.00,12.00,19.00,22.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
23,3,owies,2,0,0.00,0.00,0.50,1.00,3.00,9.50,14.00,14.00,22.00,18.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
24,4,owies,2,0,0.00,0.00,0.50,1.00,3.00,9.00,14.00,18.00,22.00,20.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
25,5,owies,2,0,0.00,0.00,0.50,1.00,3.00,9.00,11.00,18.00,24.00,22.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
26,6,owies,2,0,0.00,0.00,0.50,1.00,3.00,9.00,16.50,17.00,23.00,22.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
27,7,owies,2,0,0.00,0.00,0.50,1.00,2.00,8.00,9.00,12.00,21.00,19.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
28,8,owies,2,0,0.00,0.00,0.50,1.00,2.00,7.50,10.00,11.00,22.00,19.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
29,9,owies,2,0,0.00,0.00,0.30,0.50,2.00,6.50,14.00,12.00,6.00,17.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
30,10,owies,2,0,0.00,0.00,0.30,0.50,2.00,6.50,15.00,17.00,0.00,24.00,no,no,yes,yes,yes,yes,yes,yes,no,yes
31,11,owies,2,0,0.00,0.00,0.30,0.50,2.00,6.50,15.00,17.00,0.00,20.00,no,no,yes,yes,yes,yes,yes,yes,no,yes
32,12,owies,2,0,0.00,0.00,0.00,0.50,2.00,4.00,15.00,14.00,0.00,24.00,no,no,no,yes,yes,yes,yes,yes,no,yes
33,13,owies,2,0,0.00,0.00,0.00,0.50,1.00,3.00,14.00,12.00,0.00,21.00,no,no,no,yes,yes,yes,yes,yes,no,yes
34,14,owies,2,0,0.00,0.00,0.00,0.50,0.00,3.00,12.00,16.00,0.00,18.00,no,no,no,yes,no,yes,yes,yes,no,yes
35,15,owies,2,0,0.00,0.00,0.00,0.00,0.00,0.00,9.00,16.50,0.00,28.00,no,no,no,no,no,no,yes,yes,no,yes
36,16,owies,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.00,no,no,no,no,no,no,no,no,no,yes
37,17,owies,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
38,18,owies,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
39,19,owies,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
40,20,owies,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
41,1,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
42,2,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
43,3,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
44,4,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
45,5,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
46,6,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
47,7,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
48,8,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
49,9,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
50,10,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
51,11,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
52,12,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
53,13,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
54,14,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
55,15,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
56,16,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
57,17,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
58,18,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
59,19,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
60,20,owies,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
61,1,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
62,2,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
63,3,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
64,4,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
65,5,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
66,6,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
67,7,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
68,8,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
69,9,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
70,10,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
71,11,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
72,12,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
73,13,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
74,14,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
75,15,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
76,16,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
77,17,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
78,18,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
79,19,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
80,20,owies,2,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
81,1,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.30,0.40,0.40,0.40,0.50,no,no,no,no,no,yes,yes,yes,yes,yes
82,2,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.40,0.50,no,no,no,no,no,no,yes,yes,yes,yes
83,3,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.50,no,no,no,no,no,no,no,yes,yes,yes
84,4,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.50,no,no,no,no,no,no,no,no,yes,yes
85,5,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,no,no,no,no,no,no,no,no,no,yes
86,6,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
87,7,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
88,8,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
89,9,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
90,10,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
91,11,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
92,12,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
93,13,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
94,14,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
95,15,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
96,16,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
97,17,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
98,18,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
99,19,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
100,20,owies,1,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
101,1,owies,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.50,no,no,no,no,no,no,no,yes,yes,yes
102,2,owies,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.50,no,no,no,no,no,no,no,yes,yes,yes
103,3,owies,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,no,no,no,no,no,no,no,no,no,yes
104,4,owies,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
105,5,owies,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
106,6,owies,2,50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
