ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
1,1,pszenica,1,0,0,0.5,0.7,2.5,3.5,8,11.5,13,15.5,17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
2,2,pszenica,1,0,0,0.5,0.7,2.5,3.5,7.5,10.5,12.5,15,17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,3,pszenica,1,0,0,0.5,0.7,2.5,3.5,7.5,7,12.5,15,17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
4,4,pszenica,1,0,0,0.5,0.7,2.5,3.5,7,10,12,15,17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,5,pszenica,1,0,0,0.5,0.7,2.5,3.5,7,8,12,15,17,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
6,6,pszenica,1,0,0,0.5,0.7,1,3.5,7,11,12,15,18,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,7,pszenica,1,0,0,0.5,0.7,1,3,6,11,12,15,16,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
8,8,pszenica,1,0,0,0.5,0.7,1,3,6,11,11.5,15,15,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
9,9,pszenica,1,0,0,0.5,0.7,1,3,5,10.5,10,15,14,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
10,10,pszenica,1,0,0,0.5,0.7,1,2,4,10,9,14,12.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
11,11,pszenica,1,0,0,0.5,0.7,0.5,1,4,9,9,14,11.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
12,12,pszenica,1,0,0,0,0,0.5,1,3,7,7,14,11.5,no,no,no,yes,yes,yes,yes,yes,yes,yes
13,13,pszenica,1,0,0,0,0,0.5,1,2,5,6,14,10,no,no,no,yes,yes,yes,yes,yes,yes,yes
14,14,pszenica,1,0,0,0,0,0.5,0.5,1,3,3,14,10,no,no,no,yes,yes,yes,yes,yes,yes,yes
15,15,pszenica,1,0,0,0,0,0.5,0,1,3,3,14,9.5,no,no,no,yes,no,yes,yes,yes,yes,yes
16,16,pszenica,1,0,0,0,0,0,0,0,3,3,14,9.5,no,no,no,no,no,no,yes,yes,yes,yes
