ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14,
1,1,rzeżucha,1,0,0.00,1.00,1.5,4.50,6.00,7.00,8.00,7.00,7.00,7.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
2,2,rzeżucha,1,0,0.00,1.00,1.5,3.00,4.50,6.50,7.00,7.00,7.00,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
3,3,rzeżucha,1,0,0.00,1.00,1.5,3.00,4.50,5.00,6.50,4.50,6.00,7.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
4,4,rzeżucha,1,0,0.00,1.00,1.5,3.00,4.50,5.00,6.50,4.50,5.50,7.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
5,5,rzeżucha,1,0,0.00,1.00,1.5,2.50,4.50,5.00,6.50,4.50,5.50,3.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
6,6,rzeżucha,1,0,0.00,1.00,1.5,2.50,4.50,5.00,6.50,4.00,5.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
7,7,rzeżucha,1,0,0.00,1.00,1.5,2.50,4.00,4.50,6.50,4.00,5.00,4.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
8,8,rzeżucha,1,0,0.00,1.00,1.5,1.00,4.00,4.50,6.50,6.00,5.00,4.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
9,9,rzeżucha,1,0,0.00,1.00,1.5,1.00,4.00,4.50,6.50,5.00,5.00,4.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
10,10,rzeżucha,1,0,0.00,1.00,1.5,1.00,4.00,4.50,5.00,5.00,5.00,5.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
11,11,rzeżucha,1,0,0.00,1.00,1.5,1.00,4.00,4.50,5.00,6.00,5.00,5.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
12,12,rzeżucha,1,0,0.00,1.00,1.5,1.00,4.00,4.50,4.50,5.00,6.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
13,13,rzeżucha,1,0,0.00,1.00,1.5,1.00,3.00,4.50,4.50,3.00,1.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
14,14,rzeżucha,1,0,0.00,1.00,1.5,0.00,3.00,4.50,3.50,4.50,4.00,6.00,no,yes,yes,no,yes,yes,yes,yes,yes,yes,
15,15,rzeżucha,1,0,0.00,1.00,1.5,0.00,3.00,4.50,3.50,4.00,4.00,5.00,no,yes,yes,no,yes,yes,yes,yes,yes,yes,
16,16,rzeżucha,1,0,0.00,0.00,2.00,0.00,3.00,3.50,3.50,4.00,1.50,5.50,no,no,yes,no,yes,yes,yes,yes,yes,yes,
17,17,rzeżucha,1,0,0.00,0.00,0.00,0.00,2.00,1.50,1.00,4.00,1.40,5.00,no,no,no,no,yes,yes,yes,yes,yes,yes,
18,18,rzeżucha,1,0,0.00,0.00,0.00,0.00,1.50,1.50,1.00,1.50,1.50,5.50,no,no,no,no,yes,yes,yes,yes,yes,yes,
19,19,rzeżucha,1,0,0.00,0.00,0.00,0.00,1.50,1.50,1.50,1.50,1.60,6.00,no,no,no,no,yes,yes,yes,yes,yes,yes,
20,20,rzeżucha,1,0,0.00,0.00,0.00,0.00,1.50,1.50,1.50,1.50,1.60,1.00,no,no,no,no,yes,yes,yes,yes,yes,yes,
21,1,rzeżucha,2,0,0.00,1.00,1.50,4.00,5.50,5.50,6.00,5.00,6.00,7.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
22,2,rzeżucha,2,0,0.00,1.00,1.50,3.50,5.50,5.00,6.00,5.00,6.00,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
23,3,rzeżucha,2,0,0.00,1.00,1.50,3.50,4.00,4.50,5.00,3.50,6.00,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
24,4,rzeżucha,2,0,0.00,1.00,1.50,2.50,4.00,4.50,5.00,3.50,6.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
25,5,rzeżucha,2,0,0.00,1.00,1.50,2.50,4.00,4.50,5.00,3.50,7.00,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
26,6,rzeżucha,2,0,0.00,1.00,1.50,2.50,4.00,4.50,5.00,4.00,7.00,5.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
27,7,rzeżucha,2,0,0.00,1.00,1.50,2.50,4.00,4.00,5.00,4.00,5.00,5.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
28,8,rzeżucha,2,0,0.00,1.00,1.50,2.50,3.00,4.00,5.00,2.00,5.00,5.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
29,9,rzeżucha,2,0,0.00,1.00,1.50,2.50,3.00,4.00,5.00,3.00,4.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
30,10,rzeżucha,2,0,0.00,1.00,1.50,2.00,3.00,4.00,5.00,4.00,4.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
31,11,rzeżucha,2,0,0.00,1.00,1.50,2.00,3.00,4.00,4.00,4.00,4.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
32,12,rzeżucha,2,0,0.00,1.00,2.00,2.00,3.00,4.00,4.00,4.00,4.00,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
33,13,rzeżucha,2,0,0.00,1.00,2.00,1.50,3.00,4.00,4.00,4.00,5.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
34,14,rzeżucha,2,0,0.00,1.00,2.00,1.50,3.00,3.00,4.00,4.00,4.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
35,15,rzeżucha,2,0,0.00,1.00,2.00,1.50,3.00,3.00,3.50,4.50,4.50,1.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,
36,16,rzeżucha,2,0,0.00,0.00,0.00,1.50,1.50,1.50,3.50,5.00,4.50,2.00,no,no,no,yes,yes,yes,yes,yes,yes,yes,
37,17,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.50,4.50,no,no,no,no,no,no,no,no,yes,yes,
38,18,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
39,19,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
40,20,rzeżucha,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
41,1,rzeżucha,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no,
