ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
1,1,sosna,1,0,0.00,0.00,0.50,0.10,0.20,0.70,2.00,3.00,4.00,5.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
2,2,sosna,1,0,0.00,0.00,0.00,0.10,0.20,0.70,2.00,3.00,4.00,5.50,no,no,no,yes,yes,yes,yes,yes,yes,yes
3,3,sosna,1,0,0.00,0.00,0.00,0.10,0.20,0.50,1.50,2.50,3.50,5.00,no,no,no,yes,yes,yes,yes,yes,yes,yes
4,4,sosna,1,0,0.00,0.00,0.00,0.00,0.20,0.50,1.50,2.50,3.50,5.00,no,no,no,no,yes,yes,yes,yes,yes,yes
5,5,sosna,1,0,0.00,0.00,0.00,0.00,0.20,0.50,1.50,2.50,2.00,5.00,no,no,no,no,yes,yes,yes,yes,yes,yes
6,6,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,2.00,5.00,no,no,no,no,no,yes,yes,yes,yes,yes
7,7,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.00,no,no,no,no,no,no,no,yes,yes,yes
8,8,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,0.30,no,no,no,no,no,no,no,yes,yes,yes
9,9,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,no,no,no,no,no,no,no,no,no,yes
10,10,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
11,11,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
12,12,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
13,13,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
14,14,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
15,15,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
16,16,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
17,17,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
18,18,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
19,19,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
20,20,sosna,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
21,1,sosna,2,0,0.00,0.00,0.00,0.00,0.50,1.00,2.00,4.00,5.00,7.00,no,no,no,no,yes,yes,yes,yes,yes,yes
22,2,sosna,2,0,0.00,0.00,0.00,0.00,0.50,1.00,2.00,3.50,5.00,6.50,no,no,no,no,yes,yes,yes,yes,yes,yes
23,3,sosna,2,0,0.00,0.00,0.00,0.00,0.20,0.50,1.00,2.50,3.50,6.50,no,no,no,no,yes,yes,yes,yes,yes,yes
24,4,sosna,2,0,0.00,0.00,0.00,0.00,0.20,0.50,1.00,2.50,3.00,6.00,no,no,no,no,yes,yes,yes,yes,yes,yes
25,5,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.50,1.00,2.00,3.00,5.00,no,no,no,no,no,yes,yes,yes,yes,yes
26,6,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.50,1.00,2.00,2.50,5.00,no,no,no,no,no,yes,yes,yes,yes,yes
27,7,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.50,0.20,0.50,1.50,4.00,no,no,no,no,no,yes,yes,yes,yes,yes
28,8,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,4.00,no,no,no,no,no,no,no,yes,yes,yes
29,9,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00,no,no,no,no,no,no,no,no,yes,yes
30,10,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,no,no,no,no,no,no,no,no,no,yes
31,11,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,no,no,no,no,no,no,no,no,no,yes
32,12,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
33,13,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
34,14,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
35,15,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
36,16,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
37,17,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
38,18,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
39,19,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
40,20,sosna,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
41,1,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
42,2,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
43,3,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
44,4,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
45,5,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
46,6,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
47,7,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
48,8,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
49,9,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
50,10,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
51,11,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
52,12,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
53,13,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
54,14,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
55,15,sosna,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
