ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
1,1,jeczmien,1,0,0.00,0.10,0.20,3.00,7.00,11.50,17.5,16.50,18.00,21.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
2,2,jeczmien,1,0,0.00,0.10,0.20,2.00,6.00,9.50,14.50,20.00,20.00,21.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,3,jeczmien,1,0,0.00,0.10,0.20,1.00,4.00,7.50,14.50,17.00,21.00,18.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
4,4,jeczmien,1,0,0.00,0.10,0.20,0.30,3.00,5.00,10.00,15.00,9.00,9.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,5,jeczmien,1,0,0.00,0.10,0.20,0.30,1.00,2.50,6.50,10.00,9.00,15.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
6,6,jeczmien,1,0,0.00,0.10,0.20,0.30,1.00,2.50,6.50,12.00,13.00,12.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,7,jeczmien,1,0,0.00,0.00,0.20,0.30,1.00,1.00,5.00,11.00,13.00,12.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
8,8,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,1.00,5.00,6.00,13.00,16.50,no,no,no,no,no,yes,yes,yes,yes,yes
9,9,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,1.00,1.00,2.00,0.00,0.00,no,no,no,no,no,yes,yes,yes,no,no
10,10,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
11,11,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.60,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
12,12,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
13,13,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
14,14,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
15,15,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
16,16,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
17,17,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
18,18,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
19,19,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
20,20,jeczmien,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
21,1,jeczmien,2,0,0.00,0.10,0.10,3.00,6.00,9.50,14.00,21.00,17.40,20.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
22,2,jeczmien,2,0,0.00,0.10,0.10,3.00,5.00,8.50,14.00,21.00,21.00,11.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
23,3,jeczmien,2,0,0.00,0.10,0.10,3.00,5.00,7.50,13.00,18.00,15.50,18.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
24,4,jeczmien,2,0,0.00,0.10,0.10,2.00,5.00,7.50,11.50,8.50,11.00,19.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
25,5,jeczmien,2,0,0.00,0.10,0.10,1.00,1.50,5.00,10.00,5.00,16.00,15.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
26,6,jeczmien,2,0,0.00,0.10,0.10,0.00,1.50,3.00,8.00,9.00,12.00,15.00,no,yes,yes,no,yes,yes,yes,yes,yes,yes
27,7,jeczmien,2,0,0.00,0.10,0.10,0.00,1.50,3.00,7.00,12.50,11.00,15.00,no,yes,yes,no,yes,yes,yes,yes,yes,yes
28,8,jeczmien,2,0,0.00,0.10,0.10,0.00,1.50,2.50,2.50,12.00,6.00,6.00,no,yes,yes,no,yes,yes,yes,yes,yes,yes
29,9,jeczmien,2,0,0.00,0.00,0.10,0.00,1.50,2.00,1.00,13.50,2.00,2.00,no,no,yes,no,yes,yes,yes,yes,yes,yes
30,10,jeczmien,2,0,0.00,0.00,0.10,0.00,1.50,1.00,1.00,0.00,2.00,2.00,no,no,yes,no,yes,yes,yes,no,yes,yes
31,11,jeczmien,2,0,0.00,0.00,0.10,0.00,0.00,0.00,1.00,0.00,1.00,0.00,no,no,yes,no,no,no,yes,no,yes,no
32,12,jeczmien,2,0,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,yes,no,no,no,no,no,no,no
33,13,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
34,14,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
35,15,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
36,16,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
37,17,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
38,18,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
39,19,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
40,20,jeczmien,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
41,1,jeczmien,1,100,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.60,0.60,1.00,no,no,no,yes,yes,no,no,yes,yes,yes
42,2,jeczmien,1,100,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.60,0.60,1.00,no,no,no,yes,yes,no,no,yes,yes,yes
43,3,jeczmien,1,100,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.60,0.60,0.60,no,no,no,yes,yes,no,no,yes,yes,yes
44,4,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.30,0.00,no,no,no,no,no,no,no,yes,yes,no
45,5,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
46,6,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,no,no,no,no,no,no,no,yes,no,no
47,7,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
48,8,jeczmien,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
