ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
1,1,rzepak,1,0,0.00,0.10,0.30,1.00,4.00,4.00,5.50,7.00,6.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
2,2,rzepak,1,0,0.00,0.10,0.30,1.00,4.00,4.00,5.50,6.00,6.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,3,rzepak,1,0,0.00,0.10,0.30,1.00,4.00,4.00,5.50,6.00,6.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
4,4,rzepak,1,0,0.00,0.10,0.30,1.00,4.00,4.00,5.50,6.00,6.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,5,rzepak,1,0,0.00,0.10,0.30,1.00,4.00,4.00,5.50,6.00,6.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
6,6,rzepak,1,0,0.00,0.10,0.30,1.00,2.50,4.00,5.50,6.00,6.50,6.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,7,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,4.00,5.50,6.00,6.50,6.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
8,8,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,4.00,5.50,6.00,6.50,6.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
9,9,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,4.00,5.50,6.00,6.50,6.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
10,10,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,3.70,5.50,6.00,6.50,6.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
11,11,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,3.70,5.50,6.00,6.50,5.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
12,12,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,3.70,5.50,6.00,6.50,5.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
13,13,rzepak,1,0,0.00,0.00,0.30,1.00,2.50,3.70,5.50,6.00,6.50,7.00,no,no,yes,yes,yes,yes,yes,yes,yes,yes
14,14,rzepak,1,0,0.00,0.00,0.30,1.00,1.00,3.70,5.50,6.00,6.50,6.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
15,15,rzepak,1,0,0.00,0.00,0.30,1.00,1.00,3.70,5.00,6.00,6.50,6.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
16,16,rzepak,1,0,0.00,0.00,0.30,0.50,1.00,3.70,5.00,6.00,5.00,4.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
17,17,rzepak,1,0,0.00,0.00,0.00,0.50,1.00,2.50,5.00,5.00,5.00,4.60,no,no,no,yes,yes,yes,yes,yes,yes,yes
18,18,rzepak,1,0,0.00,0.00,0.00,0.50,0.00,2.50,5.00,5.00,5.00,2.50,no,no,no,yes,no,yes,yes,yes,yes,yes
19,19,rzepak,1,0,0.00,0.00,0.00,0.50,0.00,2.50,2.00,2.50,2.00,0.00,no,no,no,yes,no,yes,yes,yes,yes,no
20,20,rzepak,1,0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.50,2.00,0.00,no,no,no,no,no,no,yes,yes,yes,no
21,1,rzepak,2,0,0.00,0.10,0.40,1.50,2.50,5.00,7.00,7.50,8.00,8.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
22,2,rzepak,2,0,0.00,0.10,0.40,1.50,2.50,5.00,7.00,7.00,8.00,7.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
