ID,ID_inline,Plant,Repetition,Concentration,Shoot_length_1,Shoot_length_2,Shoot_length_3,Shoot_length_4,Shoot_length_5,Shoot_length_6,Shoot_length_8,Shoot_length_10,Shoot_length_11,Shoot_length_14,germination_1,germination_2,germination_3,germination_4,germination_5,germination_6,germination_8,germination_10,germination_11,germination_14
1,1,salata,1,0,0.00,0.40,0.70,1.25,2.50,3.00,3.50,3.50,3.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
2,2,salata,1,0,0.00,0.40,0.70,1.25,2.50,2.50,3.50,3.50,3.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
3,3,salata,1,0,0.00,0.40,0.70,1.25,2.50,2.50,3.50,3.50,3.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
4,4,salata,1,0,0.00,0.40,0.70,1.25,2.00,2.50,3.50,3.50,3.50,4.00,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
5,5,salata,1,0,0.00,0.40,0.70,1.25,2.00,2.50,3.50,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
6,6,salata,1,0,0.00,0.40,0.70,1.25,2.00,2.50,3.50,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
7,7,salata,1,0,0.00,0.40,0.70,1.25,2.00,2.50,3.50,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
8,8,salata,1,0,0.00,0.40,1.30,1.25,2.00,2.50,3.50,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
9,9,salata,1,0,0.00,0.40,1.30,1.25,2.00,2.50,3.50,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
10,10,salata,1,0,0.00,0.40,1.30,1.25,2.00,2.50,3.50,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
11,11,salata,1,0,0.00,0.40,1.30,1.25,2.00,2.50,3.00,3.50,3.50,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
12,12,salata,1,0,0.00,0.40,1.30,1.25,2.00,2.50,3.00,3.50,3.00,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
13,13,salata,1,0,0.00,0.40,1.30,1.25,2.00,2.50,3.00,3.50,3.00,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
14,14,salata,1,0,0.00,0.40,1.30,2.00,2.00,2.50,3.00,3.00,3.00,3.50,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
15,15,salata,1,0,0.00,0.00,1.30,2.00,1.50,2.00,3.00,3.00,1.00,3.50,no,no,yes,yes,yes,yes,yes,yes,yes,yes
16,16,salata,1,0,0.00,0.00,0.00,0.00,0.00,2.00,2.00,3.00,0.50,1.00,no,no,no,no,no,yes,yes,yes,yes,yes
17,17,salata,1,0,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,0.50,no,no,no,no,no,yes,yes,yes,yes,yes
18,18,salata,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
19,19,salata,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
20,20,salata,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
21,1,salata,2,0,0.00,0.40,0.60,1.50,2.25,3.00,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
22,2,salata,2,0,0.00,0.40,0.60,1.50,2.25,3.00,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
23,3,salata,2,0,0.00,0.40,0.60,1.50,2.00,3.00,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
24,4,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
25,5,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
26,6,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
27,7,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
28,8,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.50,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
29,9,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.00,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
30,10,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,3.50,3.00,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
31,11,salata,2,0,0.00,0.40,0.60,1.50,2.00,2.50,4.00,3.00,3.50,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
32,12,salata,2,0,0.00,0.40,1.50,1.50,2.00,2.50,4.00,3.00,3.00,3.5,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
33,13,salata,2,0,0.00,0.40,1.50,1.50,2.00,2.00,2.50,3.00,2.00,4,no,yes,yes,yes,yes,yes,yes,yes,yes,yes
34,14,salata,2,0,0.00,0.40,0.00,1.50,2.00,2.00,2.50,3.00,2.00,4,no,yes,no,yes,yes,yes,yes,yes,yes,yes
35,15,salata,2,0,0.00,0.00,0.00,1.50,1.00,2.00,2.50,2.00,2.00,4,no,no,no,yes,yes,yes,yes,yes,yes,yes
36,16,salata,2,0,0.00,0.00,0.00,1.50,1.00,2.00,2.50,2.00,3.50,2,no,no,no,yes,yes,yes,yes,yes,yes,yes
37,17,salata,2,0,0.00,0.00,0.00,2.00,0.50,1.00,2.50,2.00,0.50,0.5,no,no,no,yes,yes,yes,yes,yes,yes,yes
38,18,salata,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.5,no,no,no,no,no,no,no,yes,yes,yes
39,19,salata,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
40,20,salata,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
41,1,salata,1,100,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,no,no,no,no,no,no,no,no,no,no
